JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006110	ADRIEN GROUP	SAN89	20240831	DOUTEUX ADRIEN GROUP	0,00	13654,71			20250831		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006153	G.E.F	SAN91	20240831	DOUTEUX G.E.F	0,00	1706,80			20250831		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006332	MDB & CO	SAN93	20240831	DOUTEUX MDB & CO	0,00	1813,49			20250831		
AN	JOURNAL AN	AN000001	20240901	41100900	COLLECTIFS CLIENTS       	90006569	SYLVIE BOULANGERIE PATISSERIE	SAN102	20240831	DOUTEUX SYLVIE BOULANGERIE PAT	0,00	4386,17			20250831		
AN	JOURNAL AN	AN000001	20240901	10130000	CAPITAL SOUSCRIT APPELE ET VER			CEX0924	20240901	S.A.N.	0,00	60000,00			20250831		
AN	JOURNAL AN	AN000001	20240901	10610000	RESERVE LEGALE			CEX0924	20240901	S.A.N.	0,00	6000,00			20250831		
AN	JOURNAL AN	AN000001	20240901	10680000	AUTRES RESERVES			CEX0924	20240901	S.A.N.	0,00	262645,17			20250831		
AN	JOURNAL AN	AN000001	20240901	20500000	LOGICIELS			CEX0924	20240901	S.A.N.	28139,53	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	20700000	FOND COMMERCIAL			CEX0924	20240901	S.A.N.	53664,00	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	20800000	AUTRES IMMOS.INCORPOREL.			CEX0924	20240901	S.A.N.	73941,00	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	21810000	INST GENE AGENCEMENTS AMENAGEM			CEX0924	20240901	S.A.N.	43897,59	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	21820000	VEHICULE			CEX0924	20240901	S.A.N.	2609,76	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	21830000	MAT DE BUREAU ET MAT INFORMATI			CEX0924	20240901	S.A.N.	17465,69	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	21840000	MOBILIER			CEX0924	20240901	S.A.N.	16213,69	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	26100000	TITRES DE PARTICIPATIONS			CEX0924	20240901	S.A.N.	25319,24	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	26110000	TITRES BUSINESS PILOT			CEX0924	20240901	S.A.N.	500,00	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	26115000	NEXSEXPERTINVEST			CEX0924	20240901	S.A.N.	5000,00	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	27500000	DEPOT ET CAUTIONNEMENT VERSES			CEX0924	20240901	S.A.N.	2934,43	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	28050000	AMORT.LOGICIELS			CEX0924	20240901	S.A.N.	0,00	28139,53			20250831		
AN	JOURNAL AN	AN000001	20240901	28060000	AMORT DROIT USUFRUIT			CEX0924	20240901	S.A.N.	0,00	3697,05			20250831		
AN	JOURNAL AN	AN000001	20240901	28080000	AMORT.AUTRES IMMO.INCORP.			CEX0924	20240901	S.A.N.	0,00	47362,76			20250831		
AN	JOURNAL AN	AN000001	20240901	28181000	AMORT. INST GENE AMENAGEMENT D			CEX0924	20240901	S.A.N.	0,00	40866,33			20250831		
AN	JOURNAL AN	AN000001	20240901	28182000	AMORT.VEHICULE			CEX0924	20240901	S.A.N.	0,00	1508,66			20250831		
AN	JOURNAL AN	AN000001	20240901	28183000	AMORT. MAT DE BUREAU ET INFORM			CEX0924	20240901	S.A.N.	0,00	17100,61			20250831		
AN	JOURNAL AN	AN000001	20240901	28184000	AMORT.MOBILIERS			CEX0924	20240901	S.A.N.	0,00	15919,53			20250831		
AN	JOURNAL AN	AN000001	20240901	29610000	PROV.DEPR.TITRE US			CEX0924	20240901	S.A.N.	0,00	11717,79			20250831		
AN	JOURNAL AN	AN000001	20240901	40810000	FOURNISSEUR FACT NON PARVENUE			CEX0924	20240901	S.A.N.	0,00	5292,89			20250831		
AN	JOURNAL AN	AN000001	20240901	41600000	CLIENTS DOUTEUX OU LITIGE			CEX0924	20240901	S.A.N.	39117,97	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	42100000	REMUNERATION DUE			CEX0924	20240901	S.A.N.	92,92	0,00			20250831		
AN	JOURNAL AN	AN000001	20240901	42820000	PROV CP			CEX0924	20240901	S.A.N.	0,00	14488,00			20250831		
AN	JOURNAL AN	AN000001	20240901	43720001	CAISSE RETRAITE SALARIES			CEX0924	20240901	S.A.N.	0,00	1521,71			20250831		
AN	JOURNAL AN	AN000001	20240901	43733000	GROUPE MORNAY			CEX0924	20240901	S.A.N.	0,00	47,62			20250831		
AN	JOURNAL AN	AN000001	20240901	43734000	MUTUELLES EOVI			CEX0924	20240901	S.A.N.	0,00	718,02			20250831		
AN	JOURNAL AN	AN000001	20240901	43820000	PROV CP			CEX0924	20240901	S.A.N.	0,00	4890,86			20250831		
AN	JOURNAL AN	AN000001	20240901	43860000	AUTRES CHARGES A PAYER			CEX0924	20240901	S.A.N.	0,00	25407,00			20250831		
AN	JOURNAL AN	AN000001	20240901	44400000	IMPOT SUR BENEFICE			CEX0924	20240901	S.A.N.	0,00	1992,00			20250831		
AN	JOURNAL AN	AN000001	20240901	44566000	TVA SUR ACHAT			CEX0924	20240901	S.A.N.	0,00	1701,20			20250831		
AN	JOURNAL AN	AN000001	20240901	44571100	TVA COLLECTEE 20%			CEX0924	20240901	S.A.N.	0,00	12088,76			20250831		
AN	JOURNAL AN	AN000001	20240901	44586000	TVA SUR FACT NON PARVENUE			CEX0924	20240901	S.A.N.	190,89	0,00			20250831		
